item_type,id,parent_id,title,status,percent_complete,priority,area,depends_on,notes
epic,E1,,Household runtime foundation,done,100,P0,core,,"Core runtime, config loading, planning, approvals, audit persistence, and manual fallback behavior are now in place."
story,S1.1,E1,Create household configuration model,done,100,P0,core,,"Implemented with users, rooms, modes, and runtime loading."
story,S1.2,E1,Implement permission engine,done,100,P0,core,S1.1,"Risk classes, approval staging, and second-factor logic are implemented."
story,S1.3,E1,Implement request planner,done,100,P0,core,S1.1|S1.2,"Planner returns module, model tier, approval class, and rationale."
story,S1.4,E1,Add audit log and activity persistence,done,100,P1,core,S1.2|S1.3,"Activity and approval records persist in the runtime."
story,S1.5,E1,Define action classes 0 through 6 in code,done,100,P0,core,S1.2,"Permission model is encoded and used by planning flows."
story,S1.6,E1,Add manual fallback behavior for failed AI actions,done,100,P1,core,S1.3,"Added client-side fallback behavior so failed AI requests return useful staged next steps instead of hard-stopping core product flows."
epic,E2,,"Voice, OpenAI routing, and operator shell",done,100,P0,voice,,"Epic 2 is now complete in local product form: runtime-backed voice shell, OpenClaw bridge envelope, realtime transcription boot path, speaker and room inference, interruptible playback, quiet/whisper handling, and local fallback speech."
story,S2.1,E2,Add OpenAI text/router/realtime model config,done,100,P0,openai,,"Configured for gpt-5.4-mini, gpt-5.4-nano, and gpt-realtime-1.5."
story,S2.2,E2,Build local morning briefing command,done,100,P1,voice,S2.1,"CLI and dashboard briefing paths work."
story,S2.3,E2,Define OpenClaw bridge seam,done,100,P1,openclaw,S2.1,"Added a serializable OpenClaw bridge envelope and CLI export path while keeping household policy in Python."
story,S2.4,E2,Build one-shot greeting demo,done,100,P1,voice,S2.1,"OpenAI text and ElevenLabs playback were verified on this machine."
story,S2.5,E2,Build typed conversation loop,done,100,P1,voice,S2.4,"Text-input loop works and uses the same JARVIS response pipeline."
story,S2.6,E2,Build push-to-talk voice loop,done,100,P0,voice,S2.4,"Mic capture, transcription, response, and speech playback are wired in apex_hello.py."
story,S2.7,E2,Upgrade to Realtime API streaming voice session,done,100,P0,voice,S2.6,"Added OpenAI Realtime transcription session support with server-side VAD and verified that the session starts successfully."
story,S2.8,E2,Add wake word detection,done,100,P0,voice,S2.7,"Added config-backed wake-word detection keyed off local voice-context configuration."
story,S2.9,E2,Add speaker identification,done,100,P0,voice,S2.7,"Implemented practical speaker identification from direct-name cues, household context phrases, and input-device mapping; biometric-grade identity remains later hardening."
story,S2.10,E2,Add room inference for commands,done,100,P0,voice,S2.7,"Implemented room inference from device mapping and room mentions inside the request."
story,S2.11,E2,Add interruptible speech output,done,100,P1,voice,S2.7,"Added stoppable playback management and non-blocking realtime reply playback so new turns can cut off prior speech."
story,S2.12,E2,Add quiet mode and whisper handling,done,100,P1,voice,S2.7,"Added quiet and whisper handling through transcript cues and CLI flags, with lower-volume playback and quieter response modes."
story,S2.13,E2,Add local fallback TTS for degraded operation,done,100,P1,voice,S2.6,"Added a local macOS `say` fallback path so speech can still work when ElevenLabs is unavailable."
epic,E3,,House nervous system and home control,done,100,P0,home,,"A live-capable Home Assistant adapter now exists with a profile-backed local control surface for scenes, climate, locks, garage safety, leak monitoring, cold-storage variance monitoring, energy windows, outage posture, CLI flows, and dashboard APIs."
story,S3.1,E3,Add Home Assistant client adapter,done,100,P0,home,S1.3,"Added a live-capable Home Assistant REST adapter with profile-backed local fallback so house control can run before real credentials are wired."
story,S3.2,E3,Map lights scenes and room controls,done,100,P0,home,S3.1,"Added room-scene handling with Kasa-oriented light and outlet entities, scene profiles, persistent local overrides, and dashboard/API access."
story,S3.3,E3,Map thermostat and climate controls,done,100,P0,home,S3.1,"Added Nest-shaped climate entities with staged HVAC mode and target-temperature control through the home subsystem."
story,S3.4,E3,Map lock and door state,done,100,P0,home,S3.1,"Added lock and monitored-door overview plus staged access-control actions for entry-state visibility and night-mode support."
story,S3.5,E3,Map garage state and safe-closing checks,done,100,P0,home,S3.1,"Added MyQ-shaped garage state with safe-close checks for vehicle, interior-door, dog-clear, and motion-clear conditions."
story,S3.6,E3,Add freezer and fridge variance monitoring,done,100,P1,home,S3.1,"Added cold-storage monitoring for freezer and fridge variance with severity, recommended actions, CLI access, dashboard visibility, and API support."
story,S3.7,E3,Add leak sensor monitoring,done,100,P1,home,S3.1,"Added leak-sensor summaries, clear-vs-alert status, and recommended action reporting through the home subsystem."
story,S3.8,E3,Add energy-aware routine timing,done,100,P2,home,S3.1,"Added appliance energy-window recommendations for staged lower-cost timing such as dishwasher and laundry runs."
story,S3.9,E3,Add outage-resilient local automations,done,100,P0,home,S3.1,"Added outage-readiness posture with critical loads, degrade order, manual fallbacks, network segmentation, and remote-access constraints."
epic,E4,,Perception mesh and ambient sensing,done,100,P0,perception,,"Epic 4 now has a dedicated perception subsystem with microphone ingress, room presence, phone presence, workshop and porch or garage camera events, package rules, workshop-object recognition, anomaly logging, privacy-state controls, CLI flows, and dashboard APIs."
story,S4.1,E4,Add far-field microphone ingress,done,100,P0,perception,S2.7,"Added profile-backed microphone ingress with room, device, actor-hint, and wake-word event capture for ambient voice edges."
story,S4.2,E4,Add presence sensor ingestion,done,100,P0,perception,S3.1,"Added room presence-sensor events and occupancy rollup for mode shifts and room-aware household context."
story,S4.3,E4,Add phone location and presence hooks,done,100,P1,perception,S4.2,"Added actor-scoped iPhone presence events for arrival, departure, and family logistics context."
story,S4.4,E4,Add workshop camera ingress,done,100,P1,perception,S6.2,"Added workshop camera event capture with object handoff into perception records for future multimodal inspection overlays."
story,S4.5,E4,Add garage and porch camera event handling,done,100,P1,perception,S3.1,"Added garage and porch camera event capture with zone awareness and privacy-state inclusion."
story,S4.6,E4,Add package detection rules,done,100,P1,perception,S4.5,"Added editable package-drop rules with rain-sensitive guidance for porch and delivery-zone handling."
story,S4.7,E4,Add object recognition for workshop parts,done,100,P1,perception,S4.4,"Added object-recognition events with vocabulary normalization and workshop-part classification."
story,S4.8,E4,Add appliance and environmental anomaly detection,done,100,P1,perception,S4.2,"Added anomaly records for freezer, weather, motion, and network-adjacent readings with baseline and recommendation tracking."
story,S4.9,E4,Add privacy indicators and mute-state handling,done,100,P0,privacy,S4.1,"Added privacy state for cameras and microphones with LED-indicator metadata, mute toggles, sensitive-zone defaults, and dashboard visibility."
epic,E5,,Memory core and knowledge boundaries,done,100,P0,memory,,"Epic 5 now has a dedicated encrypted memory subsystem with household, personal, project, and safety schemas, per-user review boundaries, proposal-based sensitive fact approval, forget and export flows, cloud-exclusion policy, CLI commands, and dashboard surfaces."
story,S5.1,E5,Define household memory schema,done,100,P0,memory,S1.1,"Added schema definitions for household routines, device locations, and practical continuity notes."
story,S5.2,E5,Define personal memory schema,done,100,P0,memory,S5.1,"Added personal-memory schema support for user preferences, goals, and person-scoped continuity."
story,S5.3,E5,Define project memory schema,done,100,P0,memory,S5.1,"Added project-memory schema support for Chronicle, Scouts, manuscripts, workshop builds, and future Obsidian-friendly continuity."
story,S5.4,E5,Define safety memory schema,done,100,P1,memory,S5.1,"Added safety-memory schema support for allergies, emergency notes, and restricted household safety records."
story,S5.5,E5,Implement per-user memory boundaries,done,100,P0,memory,S5.1|S1.2,"Adults can review all memory, while children are restricted by owner and memory type before entries are shown or forgotten."
story,S5.6,E5,Add memory review dashboard,done,100,P1,memory,S5.1,"Added memory overview and proposal visibility to the local dashboard plus API review surfaces."
story,S5.7,E5,Add forget-this command,done,100,P1,memory,S5.1,"Added explicit memory-forget support with permission checks and verified deletion flow."
story,S5.8,E5,Add memory export flow,done,100,P2,memory,S5.1,"Added export flow that decrypts visible payloads for local review and portability."
story,S5.9,E5,Add sensitive-fact approval workflow,done,100,P1,memory,S5.5,"Added pending memory proposals for sensitive entries and explicit approve or reject resolution before storage."
story,S5.10,E5,Add local encryption and cloud exclusion policy,done,100,P0,privacy,S5.1,"Added Fernet-based local encryption for stored payloads plus profile-backed cloud-exclusion rules for sensitive or restricted memory."
epic,E6,,Family logistics and household modes,done,100,P0,family,,"Epic 6 now has mode playbooks, departure choreography, structured meal planning, vehicle routing posture, weather contingencies, persistent family records, and live dashboard/API surfaces."
story,S6.1,E6,Implement Dawn Protocol mode,done,100,P0,family,S3.2|S3.3|S2.7,"Added Dawn Protocol playbook support through the family profile, runtime mode briefs, CLI, and browser surfaces."
story,S6.2,E6,Implement Family Morning mode,done,100,P0,family,S6.1|S4.2,"Added Family Morning playbook support with dashboard-visible actions, signals, and guardrails."
story,S6.3,E6,Implement Steward Mode,done,100,P1,family,S3.1,"Added Steward Mode playbook support for home reset, utility timing, and office preparation."
story,S6.4,E6,Implement Work Mode,done,100,P1,family,S7.1,"Expanded Work Mode into an explicit playbook with focused prep and interruption filtering guidance."
story,S6.5,E6,Implement Deep Work mode,done,100,P1,family,S7.1,"Added Deep Work playbook support with quiet boundaries and escalation guardrails."
story,S6.6,E6,Implement Dinner Mode,done,100,P1,family,S3.2|S3.3,"Added Dinner Mode playbook support for work-display suppression, warm lighting intent, and family-boundary cues."
story,S6.7,E6,Implement Goodnight mode,done,100,P0,family,S3.4|S3.5,"Expanded Goodnight into a real closeout playbook with closure actions and next-day staging cues."
story,S6.8,E6,Implement Watchtower overnight mode,done,100,P1,family,S11.1,"Added Watchtower playbook support for overnight monitoring, carry-forward review, and quiet-hours posture."
story,S6.9,E6,Add daily family briefing builder,done,100,P0,family,S1.3,"Dashboard snapshot, active mode, family focus, departure checklist, and family-plan flow now create a coherent daily family surface."
story,S6.10,E6,Add departure checklist orchestration,done,100,P0,family,S4.2|S3.5,"Added structured departure choreography with weather hold, garage note, focus calls, checklist persistence, CLI, and dashboard/API surfaces."
story,S6.11,E6,Add meal planning and grocery grouping,done,100,P1,family,S8.1,"Added structured meal plans with grouped grocery zones, low-complexity meal selection, persistence, and dashboard/API visibility."
story,S6.12,E6,Add vehicle assignment and routing support,done,100,P1,family,S8.1,"Added vehicle assignment and route posture planning with van/car defaults, loadout cues, persistence, and dashboard/API surfaces."
story,S6.13,E6,Add weather-aware contingency planning,done,100,P1,family,S11.3,"Added weather contingency planning with risk levels, action lists, persistence, and dashboard/API surfaces."
epic,E7,,Executive work assistant,done,100,P1,executive,,"Executive specialist commands now exist for meeting prep, follow-up, manuscript review, confidentiality review, decision framing, Iron-Clad editing, venture briefs, and dashboard/API surfaces."
story,S7.1,E7,Add executive work planner,done,100,P1,executive,S1.3,"Planner now distinguishes executive workstreams such as meeting-prep, meeting-followup, manuscript-editing, research-summary, and confidentiality-filter."
story,S7.2,E7,Add meeting prep brief generation,done,100,P0,executive,S7.1,"Implemented a meeting-brief command that generates structure, likely objections, decisions, and one clean question."
story,S7.3,E7,Add meeting transcript action extraction,done,100,P0,executive,S7.2,"Implemented a meeting-followup command for commitments, unresolved decisions, and next moves."
story,S7.4,E7,Add decision-framework coaching,done,100,P1,executive,S7.2,"Added decision-framework command and browser/API surface for turning vague meetings into explicit criteria, tradeoffs, and decision gates."
story,S7.5,E7,Add manuscript editing mode,done,100,P0,executive,S7.1,"Implemented manuscript-review command with edit memo and rewrite guidance."
story,S7.6,E7,Add Iron-Clad Executive Editor protocol,done,100,P1,executive,S7.5,"Added ironclad-editor command and dashboard/API surface for an exacting executive edit pass with cuts, risks, stronger line, and rewrite."
story,S7.7,E7,Add Thermo confidentiality filter,done,100,P0,executive,S7.1|S5.10,"Implemented confidentiality-review with configured sensitive-term redaction and safe-to-share output."
story,S7.8,E7,Add evidence tiering and cited research summaries,done,100,P0,executive,S7.1,"Implemented research-summary flow with A/B/C evidence tiers and explicit uncertainty."
story,S7.9,E7,Add venture and market-monitoring briefs,done,100,P1,executive,S7.8,"Added venture-brief command and dashboard/API surface for pattern, signal strength, vendor fog checks, and next moves."
epic,E8,,Rebekah logistics and household coordination,done,100,P1,family,,"Rebekah now has a dedicated local coordination lane with command-center planning, troop support, parent-message approval staging, grocery help, voice-note follow-ups, and browser/API surfaces."
story,S8.1,E8,Add Rebekah-facing command center flow,done,100,P0,family,S6.9,"Added rebekah-center flow and browser panel for calm, low-fuss household coordination."
story,S8.2,E8,Add troop-meeting planner,done,100,P1,family,S8.1,"Added troop-plan flow with weather, indoor backup, supplies, parent-message, and follow-up structure."
story,S8.3,E8,Add parent-message drafting and approval,done,100,P0,family,S1.2|S8.1,"Added parent-message staging with approval queue creation before any send-like action."
story,S8.4,E8,Add grocery pickup and meal support,done,100,P1,family,S8.1,"Added grocery-support flow with grouped store zones, easy-dinner recommendation, timing, and gaps."
story,S8.5,E8,Add voice-note capture into follow-up tasks,done,100,P1,family,S5.3,"Added voice-note capture with persistent follow-up tasks for van-style family notes."
epic,E9,,Chronicle and faith formation,done,100,P1,faith,,"Chronicle now has devotional, family-devotional, theme-summary, capture, timeline, theological uncertainty handling, and a dedicated browser surface."
story,S9.1,E9,Add devotional pause flow,done,100,P0,faith,S5.3,"Implemented devotional-pause with Scripture, interpretation, prayer, silence, and next-step sections."
story,S9.2,E9,Add Scripture versus interpretation labeling,done,100,P0,faith,S9.1,"The devotional flow explicitly labels Scripture and interpretation separately."
story,S9.3,E9,Add prayer theme and reflection timeline,done,100,P1,faith,S5.3,"Added chronicle-themes summary and dedicated Chronicle browser surface with recurring-theme rollups and recent reflections."
story,S9.4,E9,Add Chronicle memory integration seam,done,100,P0,faith,S5.3,"Implemented a local Chronicle entry store with chronicle-capture and chronicle-timeline commands."
story,S9.5,E9,Add family devotional preparation support,done,100,P2,faith,S9.1,"Added family-devotional flow with Scripture, reflection, family questions, prayer, and uncertainty note."
story,S9.6,E9,Add theological profile and uncertainty handling,done,100,P1,faith,S9.1,"Added configured uncertainty notes and explicit uncertainty handling in devotional and family-devotional output."
epic,E10,,Child-safe tutoring and formation,done,100,P1,education,,"Tutoring now includes child boundaries, coaching flows, presentation support, persistent parent summaries, frustration handling, and device dock/study-boundary routines."
story,S10.1,E10,Enforce child profile data boundaries,done,100,P0,education,S5.5,"Children are now blocked from adult executive and workshop contexts through policy gating, forbidden-module checks, and explicit denial responses."
story,S10.2,E10,Add tutoring response policy,done,100,P0,education,S10.1,"Added JARVIS tutoring mode that coaches, quizzes, organizes, and redirects deceptive requests instead of completing schoolwork."
story,S10.3,E10,Add math and reading quiz flows,done,100,P1,education,S10.2,"Tutoring mode now supports quiz-practice and guided explanation flows, including math-style show-your-work coaching."
story,S10.4,E10,Add presentation rehearsal support,done,100,P1,education,S10.2,"Tutoring mode now supports presentation-rehearsal and outline-first coaching for student-authored slides and projects."
story,S10.5,E10,Add device dock and study boundary routines,done,100,P1,education,S10.1,"Added child-specific device-boundary routines with persistent checklists, parent visibility, CLI access, and dashboard/API surfaces."
story,S10.6,E10,Add parent-visible tutoring summaries,done,100,P1,education,S10.2,"Added persistent tutoring session logs plus adult-only summary rollups through CLI, runtime, and dashboard APIs."
story,S10.7,E10,Add frustration escalation and encouragement policy,done,100,P2,education,S10.2,"Tutoring sessions now capture encouragement, follow-up steps, and frustration signals for parent review."
epic,E11,,Workshop and maker copilot,done,100,P1,workshop,,"Workshop now has a real local subsystem with planning, printer status seam, persistent inspections, CAD package staging, print-prep handoff, material guidance, safety checks, inventory visibility, and vendor-prep approval staging."
story,S11.1,E11,Add workshop mode planner,done,100,P1,workshop,S1.3,"Added workshop-plan flow with practical sequencing for diagnosis, prototype path, materials, and safety."
story,S11.2,E11,Add Bambu printer status adapter,done,100,P0,workshop,S11.1,"Added a profile-backed printer status seam, CLI access, and dashboard visibility; live telemetry remains simulated until a real Bambu adapter is connected."
story,S11.3,E11,Add part inspection from camera or scan,done,100,P1,workshop,S4.4|S11.1,"Added observation-driven inspection ingress with persistent diagnosis and optional image-path metadata for future multimodal expansion."
story,S11.4,E11,Add rough CAD generation workflow,done,100,P1,workshop,S11.3,"Added persistent CAD package generation with parameter summaries, OpenSCAD stubs, fit-check guidance, and dashboard/API surfaces."
story,S11.5,E11,Add 3D print prep and slicer handoff,done,100,P1,workshop,S11.2|S11.4,"Added persistent print-prep packages with layer, infill, support, and handoff guidance for staged slicer transfer."
story,S11.6,E11,Add material recommendation logic,done,100,P1,workshop,S11.4,"Added material recommendations with rationale and backup options for prototype and final-fabrication decisions."
story,S11.7,E11,Add workshop safety interlocks and warnings,done,100,P0,workshop,S4.4|S3.4,"Added workshop safety checks with warnings, required interlocks, and proceed-only-after-review guidance."
story,S11.8,E11,Add vendor quote prep and approval flow,done,100,P1,workshop,S1.2|S11.4,"Added staged vendor-prep packages, approval queue creation, persistent review records, and dashboard/API access."
story,S11.9,E11,Add materials and consumables inventory,done,100,P2,workshop,S11.2,"Added local inventory visibility for filament, epoxy, and fasteners with status and restock guidance."
epic,E12,,Security and safety monitoring,done,100,P0,security,,"Security now has a dedicated local subsystem with incident logging, hazard escalation, weather timing advisories, child-arrival events, voice-unlock enforcement checks, overnight review, and dashboard/API surfaces."
story,S12.1,E12,Add package and unusual-motion monitoring,done,100,P1,security,S4.5,"Added persistent package and motion incident logging with severity, recommendations, CLI access, and dashboard/API visibility."
story,S12.2,E12,"Add smoke, CO, and leak escalation",done,100,P0,security,S3.7,"Added hazard escalation flows with critical incident records and recommended immediate actions."
story,S12.3,E12,Add weather alerting and safe-timing logic,done,100,P1,security,S3.1,"Added weather timing advisories using the household snapshot plus context-aware operational guidance."
story,S12.4,E12,Add child-arrival and safe-home detection,done,100,P1,security,S4.3,"Added child-arrival event capture with calm parent-facing summaries and next-step guidance."
story,S12.5,E12,Add no-unlock-with-voice-only enforcement,done,100,P0,security,S1.2|S3.4,"Added explicit voice-unlock policy assessment that denies voice-only door access until a second factor is present."
story,S12.6,E12,Add overnight anomaly review surface,done,100,P1,security,S12.1,"Added overnight watchtower review with incident rollup, carry-forward items, and dashboard/API visibility."
epic,E13,,Dashboards and family-facing surfaces,done,100,P1,ui,,"The dashboard now has Body Home Mission framing, timeline and watch visibility, approval actions, explainability/admin review, and a family-facing low-clutter display mode."
story,S13.1,E13,Add household summary dashboard,done,100,P1,ui,S1.4,"Current MVP dashboard provides status, activity, approvals, and command surfaces."
story,S13.2,E13,Add Body Home Mission cards,done,100,P1,ui,S6.9,"Added a dedicated Body Home Mission framing band that mirrors the morning snapshot with three focused cards."
story,S13.3,E13,Add family timeline and watch items surface,done,100,P1,ui,S6.9,"The live dashboard now surfaces timeline, watch items, security incidents, arrivals, and overnight carry-forward context."
story,S13.4,E13,Add approval review and action panel,done,100,P1,ui,S1.4,"Approvals are already exposed through the local product surface."
story,S13.5,E13,Add admin logs and explainability views,done,100,P1,ui,S1.4|S1.6,"Added explainability and approval-history views that summarize blocked integrations, module activity, recent reasoning, and review history."
story,S13.6,E13,Add family-facing low-clutter display mode,done,100,P1,ui,S13.1,"Added a local full-versus-family display toggle that hides executive and admin-heavy panels for calmer shared viewing."
story,S13.7,E13,Restart and verify expanded dashboard snapshot build,done,100,P1,ui,S13.1,"Restarted the local dashboard and verified the expanded dashboard, explainability APIs, and family-display browser behavior."
epic,E14,,Infrastructure and deployment,done,100,P1,infra,,"Infrastructure now has explicit deployment architecture, launchd packaging, voice/display/storage/network profiles, and an operations runbook for an always-on household footprint."
story,S14.1,E14,Define local server and runtime packaging,done,100,P1,infra,S1.1,"Added launchd plists, startup scripts, install helper, and deployment guidance for the local dashboard and voice shell."
story,S14.2,E14,Define voice satellite hardware plan,done,100,P2,infra,S2.8,"Added an infra profile with room-level voice satellite roles, recommended node shapes, and phased deployment posture."
story,S14.3,E14,Define wall display and family display surfaces,done,100,P2,infra,S13.2,"Added explicit kitchen, office, and living-room display surface plans tied to full versus family display modes."
story,S14.4,E14,Define NAS or encrypted local storage plan,done,100,P1,infra,S5.10,"Defined local-versus-backed-up data boundaries, encrypted NAS posture, and backup scope for memory-heavy data folders."
story,S14.5,E14,Define UPS and outage resilience plan,done,100,P2,infra,S3.9,"Defined critical loads, minimum runtime targets, and outage behavior for graceful degradation."
story,S14.6,E14,Define segmented network and secure remote access,done,100,P1,infra,S12.5,"Defined trusted-admin, IoT, and guest segmentation plus VPN-only remote access with MFA."
blocker,BL-001,E3,Home Assistant credentials are not configured,blocked,0,P0,home,,"The live adapter exists, but runtime status still reports missing HOME_ASSISTANT_URL or HOME_ASSISTANT_TOKEN."
blocker,BL-002,E3,No live household entity map is wired to the real house yet,blocked,0,P0,home,BL-001,"A profile-backed entity map now exists in the repo, but real garage, climate, lights, locks, and leak entities are not yet connected to the actual household."
blocker,BL-003,E6,No live calendar or reminder provider is mapped,blocked,0,P1,family,S6.12,"Family logistics is simulated until real calendar and reminder sources are connected."
blocker,BL-004,E11,No live Bambu or workshop integration is wired,blocked,0,P1,workshop,S11.2,"The local maker stack is complete, but real printer telemetry and upload paths are still simulated until a live Bambu adapter is connected."
story,S2.14,E2,Close full-duplex speech session loop on phone,done,100,P0,voice,S2.7|S2.11,"The phone voice loop now keeps a duplex-safe speech session with interruptible reply playback, live partial transcript handling, and continuous turn-taking."
blocker,BL-006,E2,Wake word and speaker context are heuristic rather than ambient-grade,blocked,0,P0,voice,S2.8|S2.9|S2.10,"The local layer works from config, device mapping, and transcript cues, but not yet from dedicated wake-word or biometric speaker models."
blocker,BL-008,E4,Perception subsystem is profile-backed but not wired to physical devices yet,blocked,0,P1,perception,S4.1|S4.9,"The perception layer now exists in-product, but real camera feeds, presence sensors, phone automations, and hardware mute indicators still need the household rollout."
blocker,BL-009,E14,Deployment architecture for always-on household runtime is not yet applied to household hardware,blocked,0,P1,infra,S14.1,"The architecture, service templates, and runbook now exist, but the household has not been fully migrated onto the defined always-on footprint yet."
blocker,BL-010,E2,BMAD and OpenClaw wizard flow is not a reliable primary build path,blocked,0,P2,process,,"Useful for structure and shell convenience, but not dependable as the main execution engine."
